주차장 이름,주변 주차장
누디트서울숲 주차장,"공유) 16-30(구): 210, 공유) 16-04(구): 220, 공유) 15-01(구): 221, 공유) 16-06(구): 227, 공유) 16-31(구): 274, 공유) 16-03(구): 278, 갤러리아포레 더몰 상가 주차장: 332, 공유) 16-01(구): 353, 공유) 16-36(구): 370, 뚝섬유수지(평면) 공영주차장(구): 377, 공유) 16-17(구): 392, 공유) 15-27(구): 419, 서울숲아이티밸리: 429, 공유) 15-03(구): 459, 공유) 18-32(구): 509, 공유) 16-10(구): 516, 공유) 15-25(구): 527, 공유) 18-43(구): 533, 공유) 16-14(구): 550, 공유) 16-09(구): 552, 공유) 15-06(구): 686"
갤러리아포레 더몰 상가 주차장,"공유) 15-01(구): 258, 공유) 15-03(구): 277, 누디트서울숲 주차장: 332, 공유) 16-31(구): 372, 공유) 15-27(구): 374, 메가박스 성수점: 389, 공유) 15-25(구): 393, 공유) 16-30(구): 404, 공유) 16-36(구): 406, 뚝섬유수지(평면) 공영주차장(구): 515, 공유) 16-06(구): 543, 공유) 16-04(구): 551, 공유) 16-03(구): 588, 공유) 15-06(구): 646, 공유) 15-23(구): 655, 성수1가1동(건물) 공영주차장(구): 662, 공유) 16-01(구): 676"
공유) 12-02(구),"공유) 09-02(구): 347, 금남시장 공영주차장(구): 396, 공유) 12-02(구): 441, 공유) 09-06(구): 447, 벽산하이피아프라자 별관: 529, 공유) 08-07(구): 536, 공유) 10-04(구): 563, 공유) 08-02(구): 630, 공유) 08-03(구): 722"
금남시장 공영주차장(구),"공유) 12-02(구): 153, 공유) 10-04(구): 265, 공유) 09-02(구): 335, 공유) 11-10(구): 348, 공유) 09-06(구): 373, 벽산하이피아프라자 별관: 435, 공유) 11-05(구): 474, 금호초등학교: 531, 공유) 08-01(구): 688, 공유) 10-05(구): 730"
공유) 12-01(구),"공유) 11-05(구): 253, 공유) 14-03(구): 341, 공유) 14-02(구): 351, 공유) 11-10(구): 418, 공유) 12-02(구): 485, 공유) 10-02(구): 510, 옥수역 공영주차장(시): 548, 약수동 공영주차장(구): 590, 금호초등학교: 645"
공유) 14-02(구),"공유) 14-03(구): 41, 옥수역 공영주차장(시): 199, 공유) 12-01(구): 351, 옥수유수지(평면) 공영주차장(구): 353, 공유) 11-05(구): 545, 공유) 12-02(구): 592, 공유) 11-10(구): 670"
공유) 14-03(구),"공유) 14-02(구): 41, 옥수역 공영주차장(시): 208, 공유) 12-01(구): 341, 옥수유수지(평면) 공영주차장(구): 354, 공유) 11-05(구): 520, 공유) 12-02(구): 581, 공유) 11-10(구): 639"
고분다리전통시장 주차장(구),"천호3동제2 주차장(구): 317, 천호1동 주차장(구): 433, 천호3동 주차장(구): 461, 우성아트빌: 665"
천호3동제2 주차장(구),"천호3동 주차장(구): 196, 고분다리전통시장 주차장(구): 317, 우성아트빌: 356, 석탄공회관 주차장: 487, 강동성심병원[본관/웰빙센터 주차장]: 498, 천호1동 주차장(구): 514, 프린스 주차장: 543, 강동웨딩KDW 본관주차장: 598, LG전자베스트샵 강동본점: 690"
2001아울렛 천호점[천호아울렛점],"대우한강베네시티: 113, 현대백화점 천호점: 302, 천호역 공영주차장(시): 320, 천호유수지 주차장(구): 529, 프린스 주차장: 598"
대우한강베네시티,"2001아울렛 천호점[천호아울렛점]: 113, 현대백화점 천호점: 198, 천호역 공영주차장(시): 232, 천호유수지 주차장(구): 547, 프린스 주차장: 589, 광나루1, 2주차장: 687, 풍납1(구): 701"
광나루3주차장[천호대교 하부],"광나루1, 2주차장: 534, 풍납2(구): 585, 천호유수지 주차장(구): 620"
건국대학교사범대학부속중학교 주차장,"신라빌딩[구의역 자양사거리점]: 416, 어린이대공원(구의문): 602"
건국대학교병원,"연한빌딩: 173, 자양4동 공영주차장(구): 394, LG전자베스트샵 건대입구점: 466, 빌리브인테라스: 637"
연한빌딩,"건국대학교병원: 173, 자양4동 공영주차장(구): 277, 빌리브인테라스: 681, 공유) 18-25(구): 696"
공유) 17-12(구),"공유) 17-13(구): 192, 공유) 17-18(구): 245, 공유) 18-41(구): 275, 공유) 18-46(구): 281, 공유) 17-11(구): 294, 공유) 18-40(구): 326, 공유) 18-48(구): 355, 무신사 E1: 379, 공유) 17-33(구): 422, 공유) 18-29(구): 425, 공유) 18-45(구): 461, 공유) 17-38(구): 498, 공유) 17-16(구): 507, 공유) 18-25(구): 573, 공유) 18-18(구): 597, 공유) 17-31(구): 613, 공유) 18-15(구): 635, 공유) 17-40(구): 680, 공유) 18-10(구): 707"
공유) 18-29(구),"공유) 18-46(구): 152, 공유) 18-41(구): 157, 공유) 18-40(구): 188, 공유) 18-45(구): 195, 공유) 18-15(구): 209, 공유) 18-18(구): 223, 공유) 18-48(구): 239, 공유) 18-25(구): 259, 공유) 18-14(구): 288, 공유) 18-10(구): 296, 무신사 E1: 301, 공유) 18-21(구): 349, 공유) 18-36(구): 390, 공유) 17-12(구): 425, 공유) 18-23(구): 427, 공유) 17-13(구): 429, 공유) 18-44(구): 447, 공유) 18-11(구): 469, 공유) 17-11(구): 490, 공유) 17-18(구): 509, 공유) 19-01(구): 601, 공유) 19-02(구): 683, 공유) 17-16(구): 689, 공유) 18-05(구): 726"
공유) 18-41(구),"공유) 18-46(구): 75, 공유) 18-29(구): 157, 공유) 18-40(구): 175, 공유) 18-48(구): 238, 공유) 18-45(구): 274, 공유) 17-12(구): 275, 무신사 E1: 298, 공유) 17-13(구): 324, 공유) 18-18(구): 363, 공유) 18-15(구): 365, 공유) 18-25(구): 373, 공유) 17-18(구): 406, 공유) 17-11(구): 408, 공유) 18-21(구): 418, 공유) 18-14(구): 434, 공유) 18-10(구): 452, 공유) 18-44(구): 480, 공유) 18-36(구): 505, 공유) 18-23(구): 533, 공유) 18-11(구): 616, 공유) 17-16(구): 617, 공유) 17-33(구): 628, 공유) 17-38(구): 637, 공유) 17-31(구): 707, 공유) 18-05(구): 772"
공유) 18-46(구),"공유) 18-46(구): 32, 공유) 18-41(구): 63, 공유) 18-40(구): 123, 공유) 18-29(구): 176, 공유) 18-48(구): 183, 무신사 E1: 240, 공유) 18-45(구): 241, 공유) 17-12(구): 251, 공유) 17-13(구): 268, 공유) 17-11(구): 348, 공유) 17-18(구): 350, 공유) 18-18(구): 353, 공유) 18-15(구): 385, 공유) 18-25(구): 417, 공유) 18-10(구): 457, 공유) 18-14(구): 464, 공유) 18-21(구): 474, 공유) 18-36(구): 477, 공유) 18-44(구): 523, 공유) 17-33(구): 574, 공유) 17-38(구): 576, 공유) 17-16(구): 581, 공유) 18-23(구): 581, 공유) 18-11(구): 629, 공유) 17-31(구): 645, 성수2가1동(건물) 공영주차장(구): 725"
공유) 17-13(구),"공유) 17-18(구): 82, 공유) 17-11(구): 104, 공유) 17-12(구): 192, 무신사 E1: 246, 공유) 18-48(구): 254, 공유) 18-40(구): 261, 공유) 18-46(구): 281, 공유) 17-33(구): 305, 공유) 18-41(구): 324, 공유) 17-38(구): 327, 공유) 18-45(구): 379, 공유) 17-31(구): 413, 공유) 18-29(구): 429, 공유) 17-16(구): 452, 성수2가1동(건물) 공영주차장(구): 484, 공유) 17-37(구): 499, 공유) 18-18(구): 533, 공유) 17-40(구): 544, 공유) 18-36(구): 580, 공유) 18-44(구): 603, 공유) 18-15(구): 617, 공유) 18-10(구): 641, 공유) 18-25(구): 683, 공유) 17-41(구): 748"
공유) 18-40(구),"공유) 18-48(구): 63, 공유) 18-46(구): 100, 무신사 E1: 126, 공유) 18-45(구): 135, 공유) 18-41(구): 175, 공유) 18-29(구): 188, 공유) 17-13(구): 261, 공유) 18-18(구): 278, 공유) 17-11(구): 307, 공유) 17-12(구): 326, 공유) 17-18(구): 335, 공유) 18-15(구): 364, 공유) 18-36(구): 368, 공유) 18-10(구): 402, 공유) 18-25(구): 447, 공유) 18-14(구): 458, 공유) 17-16(구): 515, 공유) 17-38(구): 519, 팩토리얼 성수: 524, 공유) 18-21(구): 533, 공유) 18-44(구): 537, 공유) 17-33(구): 554, 공유) 17-31(구): 573, 공유) 18-11(구): 614, 공유) 18-23(구): 614, 성수2가1동(건물) 공영주차장(구): 657"
공유) 18-48(구),"공유) 18-48(구): 13, 공유) 18-40(구): 54, 무신사 E1: 71, 공유) 18-45(구): 133, 공유) 18-46(구): 151, 공유) 18-41(구): 227, 공유) 18-29(구): 236, 공유) 17-13(구): 245, 공유) 17-11(구): 273, 공유) 18-18(구): 288, 공유) 17-18(구): 310, 공유) 17-12(구): 342, 공유) 18-36(구): 350, 공유) 18-15(구): 397, 공유) 18-10(구): 419, 공유) 17-16(구): 461, 공유) 17-38(구): 475, 공유) 18-25(구): 493, 공유) 18-14(구): 494, 팩토리얼 성수: 497, 공유) 18-44(구): 511, 공유) 17-33(구): 523, 공유) 17-31(구): 524, 공유) 18-21(구): 584, 성수2가1동(건물) 공영주차장(구): 609, 공유) 18-04(구): 649, 공유) 17-37(구): 654, 공유) 18-23(구): 660, 공유) 17-29(구): 684"
공유) 18-45(구),"공유) 18-48(구): 125, 공유) 18-40(구): 135, 공유) 18-18(구): 156, 무신사 E1: 158, 공유) 18-29(구): 195, 공유) 18-46(구): 210, 공유) 18-36(구): 236, 공유) 18-41(구): 274, 공유) 18-15(구): 289, 공유) 18-10(구): 290, 공유) 17-13(구): 379, 공유) 18-14(구): 390, 공유) 17-11(구): 399, 팩토리얼 성수: 399, 공유) 18-44(구): 410, 공유) 18-25(구): 418, 공유) 17-18(구): 442, 공유) 17-12(구): 461, 공유) 17-02(구): 497, 공유) 17-16(구): 514, 공유) 18-21(구): 530, 공유) 18-11(구): 545, 공유) 18-04(구): 564, 공유) 18-23(구): 578, 공유) 17-38(구): 582, 공유) 17-31(구): 615, 공유) 18-05(구): 683, 공유) 19-01(구): 701, 공유) 18-03(구): 714"
무신사 E1,"공유) 18-48(구): 63, 공유) 18-40(구): 126, 공유) 18-45(구): 158, 공유) 18-46(구): 222, 공유) 17-11(구): 245, 공유) 17-13(구): 246, 공유) 17-18(구): 296, 공유) 18-41(구): 298, 공유) 18-29(구): 301, 공유) 18-18(구): 311, 공유) 18-36(구): 333, 공유) 17-12(구): 379, 공유) 17-16(구): 390, 공유) 17-38(구): 425, 공유) 17-02(구): 440, 공유) 18-15(구): 443, 공유) 18-10(구): 447, 팩토리얼 성수: 463, 공유) 17-31(구): 465, 공유) 18-44(구): 480, 공유) 17-33(구): 494, 공유) 18-14(구): 543, 성수2가1동(건물) 공영주차장(구): 551, 공유) 18-25(구): 553, 공유) 18-23(구): 556, 공유) 17-37(구): 602, 공유) 17-29(구): 617, 공유) 18-21(구): 650, 공유) 18-04(구): 659"
공유) 15-10(구),"공유) 15-06(구): 188, 에피소드 성수101 주차장: 237, 공유) 17-02(구): 249, 공유) 15-12(구): 265, 공유) 18-34(구): 270, 공유) 18-32(구): 387, 팩토리얼 성수: 398, 공유) 18-43(구): 400, 공유) 17-22(구): 407, 공유) 18-44(구): 413, 공유) 15-25(구): 415, 공유) 18-33(구): 421, 공유) 15-23(구): 425, 공유) 15-27(구): 437, 성수1가1동(건물) 공영주차장(구): 463, 공유) 17-16(구): 465, 공유) 18-03(구): 494, 공유) 18-04(구): 521, 공유) 15-03(구): 522, 공유) 18-36(구): 536, 공유) 16-31(구): 555, 공유) 17-24(구): 555, 공유) 17-29(구): 576, 서울숲아이티밸리: 593, 공유) 16-17(구): 624, 공유) 18-02(구): 625, 공유) 15-01(구): 630, 공유) 16-30(구): 636, 공유) 17-31(구): 654, 공유) 15-21(구): 668, 성수2가1동(건물) 공영주차장(구): 696, 공유) 17-37(구): 763"
공유) 17-02(구),"공유) 17-16(구): 240, 공유) 15-10(구): 249, 공유) 18-34(구): 311, 팩토리얼 성수: 343, 공유) 17-22(구): 352, 공유) 18-44(구): 367, 공유) 18-36(구): 403, 공유) 15-12(구): 425, 공유) 17-29(구): 425, 공유) 15-06(구): 437, 공유) 17-31(구): 439, 무신사 E1: 440, 에피소드 성수101 주차장: 441, 공유) 17-24(구): 482, 공유) 18-45(구): 497, 공유) 18-48(구): 497, 성수2가1동(건물) 공영주차장(구): 498, 공유) 17-38(구): 499, 공유) 18-33(구): 513, 공유) 17-11(구): 521, 공유) 18-43(구): 553, 공유) 18-18(구): 557, 공유) 18-32(구): 558, 공유) 17-25(구): 563, 공유) 15-27(구): 576, 공유) 18-03(구): 579, 공유) 17-37(구): 587, 공유) 17-27(구): 631, 공유) 17-26(구): 637, 공유) 18-04(구): 643, 공유) 18-10(구): 658, 공유) 15-21(구): 661, 공유) 17-40(구): 687"
공유) 18-34(구),"팩토리얼 성수: 153, 공유) 18-44(구): 159, 공유) 18-33(구): 202, 공유) 18-43(구): 265, 공유) 15-10(구): 270, 공유) 18-32(구): 285, 공유) 17-02(구): 311, 공유) 18-36(구): 322, 공유) 18-04(구): 335, 공유) 15-06(구): 377, 서울숲아이티밸리: 438, 공유) 18-03(구): 470, 공유) 16-17(구): 478, 공유) 15-27(구): 487, 공유) 18-02(구): 493, 공유) 18-10(구): 497, 에피소드 성수101 주차장: 497, 공유) 16-31(구): 529, 공유) 15-12(구): 535, 공유) 17-16(구): 543, 공유) 16-30(구): 583, 공유) 18-05(구): 599, 공유) 18-01(구): 617, 성수2가3동(건물) 공영주차장(구): 620, 공유) 15-23(구): 652, 공유) 16-06(구): 705"
공유) 15-03(구),"공유) 15-25(구): 119, 공유) 15-27(구): 169, 메가박스 성수점: 191, 공유) 15-01(구): 250, 갤러리아포레 더몰 상가 주차장: 277, 공유) 16-31(구): 298, 공유) 15-06(구): 347, 공유) 16-30(구): 386, 공유) 15-23(구): 401, 성수1가1동(건물) 공영주차장(구): 416, 에피소드 성수101 주차장: 432, 공유) 18-32(구): 454, 누디트서울숲 주차장: 459, 공유) 18-43(구): 498, 공유) 15-12(구): 515, 공유) 15-10(구): 542, 공유) 16-17(구): 563, 서울숲아이티밸리: 569, 공유) 16-06(구): 592, 공유) 16-04(구): 614, 공유) 16-36(구): 670"
공유) 15-06(구),"에피소드 성수101 주차장: 175, 공유) 15-10(구): 188, 공유) 15-25(구): 227, 공유) 15-12(구): 254, 공유) 15-27(구): 271, 공유) 15-23(구): 312, 공유) 18-32(구): 342, 공유) 15-03(구): 347, 성수1가1동(건물) 공영주차장(구): 349, 공유) 18-43(구): 373, 공유) 18-34(구): 377, 메가박스 성수점: 388, 공유) 16-31(구): 420, 공유) 17-02(구): 437, 공유) 18-33(구): 451, 공유) 15-01(구): 473, 공유) 18-04(구): 506, 공유) 16-30(구): 514, 공유) 17-22(구): 523, 팩토리얼 성수: 528, 공유) 18-44(구): 536, 서울숲아이티밸리: 544, 공유) 16-17(구): 564, 공유) 15-21(구): 608, 공유) 18-02(구): 658, 공유) 17-24(구): 662, 누디트서울숲 주차장: 686, 공유) 18-03(구): 721, 공유) 17-29(구): 722"
공유) 15-12(구),"에피소드 성수101 주차장: 86, 공유) 15-23(구): 210, 성수1가1동(건물) 공영주차장(구): 240, 공유) 15-06(구): 254, 공유) 15-10(구): 265, 공유) 17-22(구): 322, 공유) 15-21(구): 403, 공유) 15-25(구): 408, 공유) 17-02(구): 425, 공유) 17-24(구): 441, 메가박스 성수점: 453, 공유) 17-26(구): 456, 공유) 15-27(구): 503, 공유) 15-03(구): 515, 공유) 17-25(구): 524, 공유) 18-34(구): 535, 공유) 17-29(구): 543, 공유) 17-27(구): 544, 공유) 18-32(구): 588, 공유) 18-43(구): 615, 공유) 16-31(구): 634, 팩토리얼 성수: 662, 공유) 17-41(구): 663, 공유) 18-33(구): 668, 공유) 18-44(구): 678, 공유) 17-44(구): 686"
공유) 15-23(구),"성수1가1동(건물) 공영주차장(구): 38, 에피소드 성수101 주차장: 189, 공유) 15-12(구): 210, 메가박스 성수점: 278, 공유) 15-06(구): 312, 공유) 15-21(구): 312, 공유) 15-25(구): 330, 공유) 15-03(구): 401, 공유) 15-10(구): 425, 공유) 15-27(구): 459, 공유) 17-02(구): 488, 공유) 17-22(구): 510, 공유) 17-26(구): 558, 공유) 17-24(구): 603, 공유) 16-31(구): 615, 공유) 15-01(구): 622, 공유) 18-32(구): 641, 갤러리아포레 더몰 상가 주차장: 655, 공유) 17-25(구): 663, 공유) 17-27(구): 675, 공유) 18-43(구): 678, 공유) 18-33(구): 763"
성수1가1동(건물) 공영주차장(구),"공유) 15-23(구): 38, 에피소드 성수101 주차장: 226, 공유) 15-12(구): 240, 메가박스 성수점: 277, 공유) 15-21(구): 284, 공유) 15-06(구): 349, 공유) 15-25(구): 353, 공유) 15-03(구): 416, 공유) 15-10(구): 463, 공유) 15-27(구): 485, 공유) 17-26(구): 559, 공유) 17-24(구): 606, 갤러리아포레 더몰 상가 주차장: 662, 공유) 18-32(구): 676, 공유) 17-27(구): 680, 공유) 18-43(구): 713, 공유) 18-33(구): 758"
공유) 15-25(구),"공유) 15-03(구): 119, 공유) 15-27(구): 135, 메가박스 성수점: 216, 공유) 15-06(구): 227, 공유) 15-01(구): 306, 공유) 16-31(구): 308, 에피소드 성수101 주차장: 323, 공유) 15-23(구): 330, 성수1가1동(건물) 공영주차장(구): 353, 공유) 18-32(구): 389, 갤러리아포레 더몰 상가 주차장: 393, 공유) 16-30(구): 407, 공유) 15-12(구): 408, 공유) 15-10(구): 415, 공유) 18-43(구): 433, 누디트서울숲 주차장: 527, 서울숲아이티밸리: 540, 공유) 16-17(구): 544, 공유) 18-04(구): 549, 공유) 18-33(구): 551, 공유) 18-03(구): 597, 공유) 17-02(구): 598, 공유) 16-06(구): 620, 공유) 16-04(구): 625, 공유) 18-02(구): 701, 공유) 17-22(구): 719, 공유) 16-36(구): 776"
메가박스 성수점,"공유) 15-03(구): 191, 공유) 15-25(구): 216, 성수1가1동(건물) 공영주차장(구): 277, 공유) 15-23(구): 278, 공유) 15-27(구): 336, 공유) 15-06(구): 388, 갤러리아포레 더몰 상가 주차장: 389, 에피소드 성수101 주차장: 390, 공유) 15-01(구): 440, 공유) 15-12(구): 453, 공유) 16-31(구): 487, 공유) 15-21(구): 523, 공유) 16-30(구): 578, 공유) 18-32(구): 606, 공유) 16-17(구): 746, 서울숲아이티밸리: 747"
에피소드 성수101 주차장,"공유) 15-12(구): 86, 공유) 15-06(구): 175, 공유) 15-23(구): 189, 성수1가1동(건물) 공영주차장(구): 226, 공유) 15-10(구): 237, 공유) 15-25(구): 323, 메가박스 성수점: 390, 공유) 17-22(구): 399, 공유) 15-27(구): 416, 공유) 15-03(구): 432, 공유) 17-02(구): 441, 공유) 15-21(구): 446, 공유) 18-34(구): 497, 공유) 18-32(구): 515, 공유) 17-24(구): 524, 공유) 17-26(구): 542, 공유) 18-43(구): 545, 공유) 16-31(구): 581, 공유) 17-25(구): 609, 공유) 18-33(구): 609, 공유) 15-01(구): 615, 공유) 17-29(구): 616, 공유) 17-27(구): 631, 공유) 18-03(구): 679, 공유) 18-04(구): 695, 공유) 17-41(구): 747, 공유) 17-44(구): 756"
옥수역 공영주차장(시),"옥수유수지(평면) 공영주차장(구): 157, 공유) 14-02(구): 199, 공유) 14-03(구): 208, 공유) 12-01(구): 548, 공유) 12-02(구): 701"
옥수유수지(평면) 공영주차장(구),"옥수역 공영주차장(시): 157, 공유) 14-02(구): 353, 공유) 14-03(구): 354, 공유) 12-01(구): 598, 공유) 12-02(구): 625"
LG전자베스트샵 강동본점,"석탄공회관 주차장: 209, 강동성심병원[본관/웰빙센터 주차장]: 309, 우성아트빌: 352, 강동웨딩KDW 본관주차장: 444, 천호3동 주차장(구): 610, 천호3동제2 주차장(구): 690"
강동성심병원[본관/웰빙센터 주차장],"강동웨딩KDW 본관주차장: 178, 석탄공회관 주차장: 249, 우성아트빌: 305, LG전자베스트샵 강동본점: 309, 천호3동 주차장(구): 354, 프린스 주차장: 480, 천호3동제2 주차장(구): 498, 안말 주차장(구): 723"
석탄공회관 주차장,"우성아트빌: 143, LG전자베스트샵 강동본점: 209, 강동성심병원[본관/웰빙센터 주차장]: 249, 강동웨딩KDW 본관주차장: 427, 천호3동 주차장(구): 437, 천호3동제2 주차장(구): 487"
우성아트빌,"석탄공회관 주차장: 143, 강동성심병원[본관/웰빙센터 주차장]: 305, 천호3동 주차장(구): 349, LG전자베스트샵 강동본점: 352, 천호3동제2 주차장(구): 356, 강동웨딩KDW 본관주차장: 477, 고분다리전통시장 주차장(구): 665"
강동웨딩KDW 본관주차장,"강동성심병원[본관/웰빙센터 주차장]: 178, 프린스 주차장: 385, 천호3동 주차장(구): 417, 석탄공회관 주차장: 427, LG전자베스트샵 강동본점: 444, 우성아트빌: 477, 안말 주차장(구): 549, 천호3동제2 주차장(구): 598"
천호3동 주차장(구),"천호3동제2 주차장(구): 196, 우성아트빌: 349, 강동성심병원[본관/웰빙센터 주차장]: 354, 프린스 주차장: 365, 강동웨딩KDW 본관주차장: 417, 석탄공회관 주차장: 437, 고분다리전통시장 주차장(구): 461, LG전자베스트샵 강동본점: 610"
프린스 주차장,"천호3동 주차장(구): 365, 강동웨딩KDW 본관주차장: 385, 천호역 공영주차장(시): 455, 강동성심병원[본관/웰빙센터 주차장]: 480, 현대백화점 천호점: 527, 천호3동제2 주차장(구): 543, 대우한강베네시티: 589, 2001아울렛 천호점[천호아울렛점]: 598"
천호역 공영주차장(시),"현대백화점 천호점: 72, 대우한강베네시티: 232, 2001아울렛 천호점[천호아울렛점]: 320, 프린스 주차장: 455, 풍납1(구): 539"
현대백화점 천호점,"천호역 공영주차장(시): 72, 대우한강베네시티: 198, 2001아울렛 천호점[천호아울렛점]: 302, 풍납1(구): 521, 프린스 주차장: 527"
풍납1(구),"풍납2(구): 376, 현대백화점 천호점: 521, 천호역 공영주차장(시): 539, 공유) 15-가600구간(구): 625, 대우한강베네시티: 701"
풍납2(구),"풍납1(구): 376, 광나루3주차장[천호대교 하부]: 585"
구의3동 공영주차장(구),성진강변스파랜드: 465
신라빌딩[구의역 자양사거리점],"건국대학교사범대학부속중학교 주차장: 416, 편안한요양병원[광진자양점]: 680"
LG전자베스트샵 건대입구점,건국대학교병원: 466
자양4동 공영주차장(구),"연한빌딩: 277, 건국대학교병원: 394, 공유) 18-46(구): 595"
공유) 17-11(구),"공유) 17-18(구): 71, 공유) 17-13(구): 104, 공유) 17-38(구): 229, 무신사 E1: 245, 공유) 17-33(구): 250, 공유) 18-48(구): 277, 공유) 17-12(구): 294, 공유) 18-40(구): 307, 공유) 17-31(구): 310, 공유) 17-16(구): 354, 공유) 18-46(구): 354, 성수2가1동(건물) 공영주차장(구): 384, 공유) 18-45(구): 399, 공유) 17-37(구): 406, 공유) 18-41(구): 408, 공유) 17-40(구): 462, 공유) 18-29(구): 490, 공유) 17-29(구): 506, 공유) 18-18(구): 555, 공유) 18-36(구): 567, 공유) 17-44(구): 622, 공유) 18-10(구): 624, 팩토리얼 성수: 671, 공유) 17-41(구): 685, 공유) 18-44(구): 691, 공유) 18-25(구): 775"
공유) 17-16(구),"공유) 17-31(구): 199, 공유) 17-02(구): 240, 공유) 17-29(구): 244, 공유) 17-38(구): 263, 성수2가1동(건물) 공영주차장(구): 264, 공유) 17-22(구): 314, 공유) 17-37(구): 350, 공유) 17-11(구): 354, 공유) 17-24(구): 377, 무신사 E1: 390, 공유) 17-18(구): 418, 공유) 17-25(구): 432, 공유) 17-12(구): 434, 공유) 17-33(구): 437, 공유) 17-44(구): 440, 공유) 17-40(구): 450, 공유) 17-13(구): 452, 공유) 18-48(구): 454, 공유) 15-10(구): 465, 공유) 17-41(구): 492, 공유) 17-27(구): 511, 공유) 18-45(구): 514, 공유) 18-40(구): 515, 공유) 18-36(구): 530, 팩토리얼 성수: 537, 공유) 18-34(구): 543, 공유) 18-44(구): 562, 공유) 17-26(구): 567, 공유) 15-21(구): 592, 공유) 18-18(구): 629, 공유) 18-10(구): 663, 공유) 18-33(구): 687, 공유) 18-29(구): 689, 공유) 18-32(구): 770"
공유) 17-18(구),"공유) 17-11(구): 71, 공유) 17-13(구): 82, 공유) 17-33(구): 224, 공유) 17-12(구): 245, 공유) 17-38(구): 255, 무신사 E1: 296, 공유) 18-48(구): 317, 공유) 18-40(구): 335, 공유) 17-31(구): 348, 공유) 18-46(구): 363, 공유) 18-41(구): 406, 성수2가1동(건물) 공영주차장(구): 413, 공유) 17-16(구): 418, 공유) 17-37(구): 421, 공유) 18-45(구): 442, 공유) 17-40(구): 462, 공유) 18-29(구): 509, 공유) 18-18(구): 598, 공유) 18-36(구): 626, 공유) 17-44(구): 637, 공유) 18-10(구): 642, 공유) 17-41(구): 685, 공유) 18-44(구): 739"
공유) 17-31(구),"성수2가1동(건물) 공영주차장(구): 86, 공유) 17-38(구): 103, 공유) 17-37(구): 157, 공유) 17-16(구): 199, 공유) 17-29(구): 203, 공유) 17-40(구): 254, 공유) 17-33(구): 272, 공유) 17-11(구): 310, 공유) 17-44(구): 320, 공유) 17-18(구): 348, 공유) 17-24(구): 382, 공유) 17-22(구): 395, 공유) 17-25(구): 395, 공유) 17-41(구): 395, 공유) 17-13(구): 413, 공유) 17-02(구): 439, 무신사 E1: 465, 공유) 17-27(구): 471, 공유) 17-26(구): 499, 공유) 17-12(구): 502, 공유) 18-48(구): 522, 공유) 18-40(구): 573, 공유) 18-36(구): 607, 공유) 18-45(구): 615, 공유) 18-46(구): 644, 공유) 15-10(구): 654, 공유) 18-41(구): 707"
공유) 17-33(구),"공유) 17-38(구): 176, 공유) 17-18(구): 224, 공유) 17-11(구): 250, 공유) 17-37(구): 254, 공유) 17-40(구): 259, 공유) 17-31(구): 272, 성수2가1동(건물) 공영주차장(구): 290, 공유) 17-13(구): 305, 공유) 17-12(구): 422, 공유) 17-16(구): 437, 공유) 17-29(구): 459, 공유) 17-44(구): 488, 무신사 E1: 494, 공유) 18-48(구): 528, 공유) 17-41(구): 546, 공유) 18-40(구): 554, 공유) 18-46(구): 587, 공유) 18-45(구): 598, 공유) 18-41(구): 628, 공유) 18-36(구): 685"
공유) 17-37(구),"성수2가1동(건물) 공영주차장(구): 89, 공유) 17-40(구): 100, 공유) 17-31(구): 157, 공유) 17-38(구): 180, 공유) 17-44(구): 235, 공유) 17-29(구): 242, 공유) 17-33(구): 254, 공유) 17-41(구): 320, 공유) 17-16(구): 350, 공유) 17-25(구): 375, 공유) 17-24(구): 399, 공유) 17-11(구): 406, 공유) 17-18(구): 421, 공유) 17-27(구): 438, 공유) 17-22(구): 465, 공유) 17-26(구): 474, 공유) 17-13(구): 499, 공유) 17-12(구): 578, 공유) 17-02(구): 587, 무신사 E1: 602, 공유) 18-40(구): 646, 공유) 18-48(구): 654, 공유) 18-41(구): 734"
공유) 17-38(구),"공유) 17-37(구): 46, 공유) 17-40(구): 82, 성수2가1동(건물) 공영주차장(구): 125, 공유) 17-38(구): 171, 공유) 17-31(구): 176, 공유) 17-33(구): 214, 공유) 17-44(구): 274, 공유) 17-29(구): 287, 공유) 17-41(구): 360, 공유) 17-16(구): 375, 공유) 17-11(구): 388, 공유) 17-18(구): 396, 공유) 17-25(구): 420, 공유) 17-24(구): 445, 공유) 17-13(구): 475, 공유) 17-27(구): 482, 공유) 17-22(구): 509, 무신사 E1: 597, 공유) 17-02(구): 614, 공유) 17-12(구): 624, 공유) 18-40(구): 635, 공유) 18-48(구): 645, 공유) 18-41(구): 715, 공유) 18-46(구): 766"
